todofuken,city,name,tel,e-mail,address,lat,lon,url
埼玉県,さいたま市,さいたま市災害ボランティアセンター,048-835-3111,N/A,埼玉県さいたま市浦和区常盤9-30-22,35.871349,139.642914,http://www.saitamashi-shakyo.jp/
埼玉県,さいたま市,市災害ボランティアセンター,070-4821-5700,N/A,埼玉県浦和区常盤９－３０－２２　浦和ふれあい館　１階ロビー,35.871143,139.642807,http://www.saitamashi-shakyo.jp/news-detail.php?n=729
埼玉県,さいたま市,西区災害ボランティアセンター,070-5578-6301,N/A,埼玉県西区西大宮３－４－２　西区役所　２階D会議室,35.925182,139.579498,http://www.saitamashi-shakyo.jp/news-detail.php?n=729
埼玉県,さいたま市,北区災害ボランティアセンター,070-5578-5445,N/A,埼玉県北区宮原町１－８５２－１　北区役所　２階F会議室,35.931386,139.620395,http://www.saitamashi-shakyo.jp/news-detail.php?n=729
埼玉県,さいたま市,大宮区災害ボランティアセンター,090-8805-2665,N/A,埼玉県大宮区吉敷町１－１２４－１ 大宮区役所 ４階ロビー,35.901691,139.630554,http://www.saitamashi-shakyo.jp/news-detail.php?n=729
埼玉県,さいたま市,見沼区災害ボランティアセンター,070-5579-6948,N/A,埼玉県見沼区堀崎町１２－３６　見沼区役所　２階総務課内,35.935235,139.654410,http://www.saitamashi-shakyo.jp/news-detail.php?n=729
埼玉県,さいたま市,中央区災害ボランティアセンター,048-854-3724,N/A,埼玉県中央区下落合５－７－１０　中央区役所　４階会議室,35.883789,139.626755,http://www.saitamashi-shakyo.jp/index.php
埼玉県,さいたま市,桜区災害ボランティアセンター,048-856-6125,N/A,埼玉県桜区道場４－３－１　桜区役所　４階大会議室,35.856744,139.610310,http://www.saitamashi-shakyo.jp/index.php
埼玉県,さいたま市,浦和区災害ボランティアセンター,048-829-6021,N/A,埼玉県浦和区常盤６－４－４　浦和区役所　１階ロビー,35.861766,139.645661,http://www.saitamashi-shakyo.jp/index.php
埼玉県,さいたま市,南区災害ボランティアセンター,070-6427-9775,N/A,埼玉県南区別所７－２０－１　南区役所　５階ロビー,35.845439,139.645586,http://www.saitamashi-shakyo.jp/index.php
埼玉県,さいたま市,緑区災害ボランティアセンター,080-5471-6420,N/A,埼玉県緑区大字中尾９７５－１　緑区役所　２階２A会議室,35.871421,139.683909,http://www.saitamashi-shakyo.jp/index.php
埼玉県,さいたま市,岩槻区災害ボランティアセンター,070-6985-5377,N/A,埼玉県岩槻区本町３－２－５　岩槻区役所　４階第１会議室,35.950104,139.693756,http://www.saitamashi-shakyo.jp/index.php
埼玉県,坂戸市,坂戸市災害ボランティアセンター,049-283-1597,N/A,埼玉県坂戸市大字石井2327-6（坂戸市福祉センター内）,35.966934,139.408737,http://sakadoshakyou.jp/center/index.html
埼玉県,小川町,小川町災害ボランティアセンター,0493-74-3461,N/A,埼玉県比企郡小川町腰越618 総合福祉センターパトリアおがわ内2F,36.046669,139.241837,http://ogawashakyo.or.jp/access.html
埼玉県,上尾市,上尾市災害ボランティアセンター,048-773-7155,N/A,埼玉県上尾市大字平塚724番地,35.982628,139.612854,http://ageo-shakyo.or.jp/inquiry/index.html
埼玉県,川越市,川越市災害ボランティアセンター,080-3099-4181,N/A,埼玉県川越市下小坂６５１－２　下小坂自治会館（下小坂ふれあい広場）,35.947643,139.457150,http://www.kawagoeshi-syakyo-or.jp/news/detail.php?id=21
埼玉県,東松山市,東松山市災害ボランティアセンター,0493-23-1251,N/A,埼玉県東松山市松本町1-7-8,36.037987,139.408615,http://www.smile-shakyo.jp/volunteer/detail.php?eid=00011
埼玉県,入間市,入間市災害ボランティアセンター,04-2963-1014,N/A,埼玉県入間市豊岡4丁目2番2号,35.833881,139.391068,https://iruma-shakyo.or.jp/
