todofuken,city,name,tel,e-mail,address,lat,lon,url
宮城県,伊具郡,丸森町災害ボランティアセンター,0224-72-2241,marumori-syakyo@town.marumori.miyagi.jp,宮城県伊具郡丸森町字鳥屋48 丸森町保健センター(丸森病院隣り),37.912819,140.766373,http://www.town.marumori.miyagi.jp/syakyo/hp/akusesu/access.html
宮城県,角田市,角田市災害ボランティアセンター,090-6224-4147,N/A,宮城県角田市角田柳町35-1 角田市総合保健福祉センター(ウエルパークかくだ),37.982642,140.776963,http://kakuda-shakyo.net/
宮城県,丸森町,丸森町災害ボランティアセンター,0224-72-2241,N/A,〒981-2152 宮城県丸森町字鳥屋48番地(丸森町保健センター2階),37.912619,140.765811,http://www.town.marumori.miyagi.jp/syakyo/hp/osirase/volunteer_19_entry.html
宮城県,柴田町,柴田町災害ボランティアセンター,0224-58-1771,N/A,宮城県柴田郡柴田町大字船岡字中島68番地 柴田町社会福祉協議会(柴田町地域福祉センター内),38.064670,140.776910,https://www.facebook.com/%E6%9F%B4%E7%94%B0%E7%94%BA%E7%A4%BE%E4%BC%9A%E7%A6%8F%E7%A5%89%E5%8D%94%E8%AD%B0%E4%BC%9A-101096467981928/
宮城県,石巻市,石巻市災害ボランティアセンター,0225-23-3911,N/A,宮城県石巻市湊町一丁目1-9　石巻市社会福祉協議会　復興支援課内,38.426934,141.315116,http://www.ishinomaki-shakyo.or.jp/disaster_volunteer
宮城県,仙台市,仙台市ボランティアセンター,022-262-7294,hureai-net@shakyo-sendai.or.jp,〒980-0022　仙台市青葉区五橋2丁目12番2号　仙台市福祉プラザ6階,38.250690,140.880234,http://www.shakyo-sendai.or.jp/n/
宮城県,仙台市,宮城県災害ボランティアセンター,022-266-3951,N/A,宮城県仙台市青葉区本町３－７－４ 宮城県社会福祉会館３階,38.268982,140.873458,https://svc.miyagi.jp/index.php?module=blog&eid=20864&aid=21723
宮城県,村田町,村田町災害ボランティアセンター,0224-83-5422,N/A,宮城県柴田郡村田町大字村田字大槻下5番地,38.120397,140.722852,http://www.murata-shakyo.com/publics/index/1/detail=1/b_id=1/r_id=1#block1-1
宮城県,大河原町,大河原町災害ボランティアセンター,0224-53-0294,o-shakyo@ji.jet.ne.jp,宮城県柴田郡大河原町字南69,38.050085,140.732803,http://www02.jet.ne.jp/~o-shakyo/index.html
宮城県,大郷町,大郷町社協災害ボランティアセンター,080-6043-6998,N/A,宮城県黒川郡大郷町中村字屋鋪8-19 大郷文化会館,38.421574,140.995758,https://m.facebook.com/story.php?story_fbid=116912136386868&id=116838633060885&ref=page_internal&_ft_=mf_story_key.116912136386868%3Atop_level_post_id.116912136386868%3Atl_objid.116912136386868%3Acontent_owner_id_new.116838633060885%3Athrowback_story_fbid.116912136386868%3Apage_id.116838633060885%3Astory_location.4%3Apage_insights.%7B%22116838633060885%22%3A%7B%22page_id%22%3A116838633060885%2C%22actor_id%22%3A116838633060885%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1571134581%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B116912136386868%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A116838633060885%2C%22page_id%22%3A116838633060885%2C%22post_id%22%3A116912136386868%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D&__tn__=%2As%2As-R
宮城県,大崎市,大崎市災害ボランティアセンター,0229-21-0550,N/A,宮城県大崎市古川南町１丁目６―２,38.572063,140.957779,https://www.osaki-shakyo.com/archives/9498
宮城県,大和町,大和町災害ボランティアセンター,022-345-2156,taiwa-shakyo1967@poem.ocn.ne.jp,〒981-3621 宮城県黒川郡大和町吉岡字館下88　大和町保健福祉総合センター（ひだまりの丘）内,38.448166,140.880005,http://www.taiwa-shakyo.or.jp/information/index.html
宮城県,登米市,登米市災害ボランティアセンター,0220-21-6310,N/A,宮城県登米市迫町北方字大洞45番地3(迫老人福祉センター内),38.695082,141.178232,http://www.tome-shakyo.jp/
宮城県,白石市,白石市災害ボランティアセンター,0224-22-5210,N/A,宮城県白石市南町一丁目3-37 福祉プラザやまぶき,38.000931,140.620236,http://shiroishi-shakyo.jp/
宮城県,名取市,名取市社協ボランティアセンター,022-384-6669,N/A,〒981-1224 宮城県名取市増田5丁目13－35,38.175367,140.888506,http://www.natorisyakyo.or.jp/publics/index/112#type320_112_3
宮城県,涌谷町,涌谷町災害ボランティアセンター,080-9339-0725,N/A,宮城県涌谷町大槻下5番地,38.539673,141.140640,http://www.wakuya-sfk.net/blog/1368?fbclid=IwAR3phnh36F-IhJbzvc3Uxc9GNBdhdeJUjXupU79bPxNcMgLA_k7kE8_jkUo
