todofuken,city,name,tel,e-mail,address,lat,lon,url
栃木県,宇都宮市,宇都宮市災害ボランティアセンター,080-5065-9709,N/A,栃木県宇都宮市中央1-1-15,36.559074,139.882141,http://park14.wakwak.com/~volunteer/index.html#kyuukan
栃木県,下野市,下野市災害ボランティアセンター,0285-43-1236,N/A,栃木県下野市小金井789番地(ゆうゆう館内),36.385034,139.836255,http://www.shimotsuke-syakyo.or.jp/blog/wp-content/uploads/2019/10/02-2%E7%81%BD%E5%AE%B3%E3%83%9C%E3%83%A9%E3%83%B3%E3%83%86%E3%82%A3%E3%82%A2%E5%8B%9F%E9%9B%86%E9%80%9A%E7%9F%A5%EF%BC%88%E4%BA%8B%E5%89%8D%E7%99%BB%E9%8C%B2Ver.%EF%BC%89.pdf
栃木県,佐野市,佐野市災害ボランティアセンター,070-4475-6828,N/A,栃木県佐野市大橋町3212-27,36.313087,139.564072,https://www.sanoshakyo.or.jp/publics/index/214
栃木県,鹿沼市,鹿沼市災害ボランティアセンター,080-7853-4640,N/A,栃木県鹿沼市口粟野1773,36.522227,139.666649,http://kanuma-shakyo.or.jp/publics/index/1/detail=1/c_id=4/page4=1/type014_4_limit=10/#page1_4_971
栃木県,小山市,小山市災害ボランティアセンター,0285-22-9501 ,N/A,栃木県小山市神鳥谷931番地3,36.304325,139.795441,http://oyama-syakyo.or.jp/
栃木県,上三川町,上三川町災害ボランティアセンター,0285-56-3166,N/A,栃木県河内郡上三川町上蒲生127-1 ,36.437775,139.909088,http://www.kamisyakyo.or.jp/files/lib/7/219/201910150929472438.pdf
栃木県,壬生町,壬生町災害ボランティアセンター,0282-82-7899,N/A,栃木県壬生町壬生甲3843-1(壬生町保健福祉センター内),36.442314,139.812347,http://mibu-shakyo.net/warning/?p=371
栃木県,足利市,足利市災害ボランティアセンター,080-2595-1652,N/A,栃木県足利市東砂原後町1072,36.344208,139.462692,https://www.facebook.com/asvc1072b/?ref=bookmarks
栃木県,栃木市,栃木市災害ボランティアセンター,080-9200-6824,N/A,栃木市日ノ出町 14-36,36.382744,139.742096,http://www.tochigishi-shakyo.or.jp/volunteer/2019/10/1.php
栃木県,那須烏山市,那須烏山市災害ボランティアセンター,0287-88-7881,N/A,栃木県那須烏山市田野倉85-1 (市保健福祉センター内),36.658985,140.097275,https://www.nasukarashakyo-vc.com/disaster_volunteer/20191014.pdf
